Sum of total_paid,Column Labels,,,,
date,Baptist Health & Medical Center,Boudica Female Care,dr. Mariano & Co.,East Westfield Health Services,Grand Total
2018,887740,316938,826302,1028533,3059513
Qtr1,221751,75542,202312,277080,776685
Qtr2,234069,70945,201267,244359,750640
Qtr3,207036,96313,208695,272133,784177
Qtr4,224884,74138,214028,234961,748011
2019,757438,323201,868091,1070642,3019372
Qtr1,184732,85263,213323,282297,765615
Qtr2,185554,78830,200437,264692,729513
Qtr3,182842,80091,220644,261970,745547
Qtr4,204310,79017,233687,261683,778697
2020,867790,324375,908154,1084828,3185147
Qtr1,206022,83425,221446,273673,784566
Qtr2,220133,80239,235654,277382,813408
Qtr3,212101,84688,239730,271241,807760
Qtr4,229534,76023,211324,262532,779413
2021,884601,328220,863560,1037432,3113813
Qtr1,224902,66533,210336,247473,749244
Qtr2,213454,82316,207921,235375,739066
Qtr3,216808,95270,209576,285294,806948
Qtr4,229437,84101,235727,269290,818555
2022,830467,326947,826646,1090558,3074618
Qtr1,203443,77962,205067,236934,723406
Qtr2,221695,87091,223755,303426,835967
Qtr3,199873,88185,191041,280719,759818
Qtr4,205456,73709,206783,269479,755427
Grand Total,4228036,1619681,4292753,5311993,15452463
